,index,amazonIDs,recording_mbids,genres
0,2,1906063443,"139a8343-49ab-4f94-aafd-39494a3e707d, 8aefb4b4-de3e-4349-b565-eb0d473df37e","Europe,Christian,Eastern Europe,Pop,Gypsy,World Music,Rock, Europe,Christian,Eastern Europe,Pop,Gypsy,World Music,Rock"
1,3,1929243766,"effb0377-c903-4ac1-b982-c8c7248d709f, 91db51a7-df44-4d2e-a05b-25b8b52bce08, b54ad5fc-f551-470e-96a0-e117643df2b2, 466125ea-a7d2-43a4-a409-fae6848e3770, b721f39d-2907-4ff1-97b9-fd80ff571209, ebecb4b6-454a-4b43-8e65-966ab5aebc78, 30d47e36-768a-4802-8127-146dbebc3355, a8229baa-be07-42c6-8ffe-ea901f01d48c, cb1c4340-0bb4-4ab2-a42e-fb583c3d88c2","Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop, Comedy & Spoken Word,Pop"
2,4,1930864159,"7774e668-80a1-4d21-87f9-223850e1023d, f44ad78f-0609-4d74-8bbf-e9ab6b949f90, 4863da02-376c-4b81-b394-e258e432c9e6, cf06a735-46e7-4758-9719-36fcd5bedad4","Pop & Contemporary,Christian,Gospel,Pop, Pop & Contemporary,Christian,Gospel,Pop, Pop & Contemporary,Christian,Gospel,Pop, Pop & Contemporary,Christian,Gospel,Pop"
3,6,3937406328,a2a5ca2b-96fb-4d7d-a96f-e60bd75a624b,"Europe,World Music,Blues Rock,Rock,Pop,Dance & Electronic,Britain,Singer-Songwriters,Rock Guitarists,Album-Oriented Rock (AOR),Dance Pop,Blues,British Isles,Folk,Classic Rock"
4,7,4266950926,"5947ac64-d026-47a2-a1ae-63ab597f1710, 10213ffb-809c-426a-84c5-0a31a90b872a, a1ce8669-03ff-442f-a18f-cee87cc468d3, a576ce36-e860-4928-b0f6-f7b6617937ce, 5f0b55f6-7df5-44ae-9727-da15e8619b45","New Age,Meditation,World Music,Pop, New Age,Meditation,World Music,Pop, New Age,Meditation,World Music,Pop, New Age,Meditation,World Music,Pop, New Age,Meditation,World Music,Pop"
5,9,5553552451,4058625a-d774-4303-bbab-e0bf58f265d2,Pop
6,10,5554329039,"224b273f-a80a-4508-8721-8dd10e7b1976, 0f1676a2-2a67-4769-9abd-b393230bfc6c, 9a222a27-f1a3-473a-8b08-1b94c7923c67, bc5fe620-9707-4eff-9f93-90897d696cbc, 6c5a8972-6e0a-4d71-8c5f-dd94826bd8bc, e26bc2ad-c12b-4a51-a150-24e754dadcfb, 51ce6f9e-0c35-4d29-8d9d-785af2a3cad4, 424f7b2e-e2ce-4e76-ad3b-8231621fbb77, ca646b7b-b168-494a-81c2-24f087b1dad1, 6a20a597-ce8a-40f2-8db6-5e2a90202b0e","World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock, World Music,Pop,Rock"
7,11,5555728123,fe0c71f8-f972-4fe3-b468-5331cd290560,"Christmas,Classical,Holiday & Wedding"
8,12,5555799063,8f4a6d13-79b8-40a2-83de-411d76975aea,"Europe,Pop,Latin Music,Latin Pop,World Music,Rock,Continental Europe"
9,16,5557530584,"7b74f0ec-f4b3-48d5-8ce4-68304cb3120c, cce2b2f7-1fb3-4d33-bf6f-cff030161aed, d1b0fccb-c1ad-4191-a5f0-da76ce733311, edfb6c54-b059-4b6f-bc02-276937f83b44","Metal,Christian,Alternative Metal, Metal,Christian,Alternative Metal, Metal,Christian,Alternative Metal, Metal,Christian,Alternative Metal"
10,17,5557894675,"418dd92e-de41-41d4-b7ca-8a929fcf46e3, 59611e3e-9119-4a02-a0c9-e1f5db2d7de3, 431d090d-b5f5-4a0c-b746-b09006bfd74e","Rock,Pop,Easy Listening, Rock,Pop,Easy Listening, Rock,Pop,Easy Listening"
11,19,5558460342,"3f966f10-146f-446a-a8de-a46ca15b40c9, 1e6be9f4-f520-43bd-9c24-883bdc8d7f09","Pop,Rock, Pop,Rock"
