,index,amazonIDs,reviews,genres,clean_reviews
0,2,1906063443,"Contrary to the previous review, this IS a compilation, NOT a single artist's CD. I don't know what happened to their CD package - maybe the buyer only received the bonus CD by mistake from the seller, or got some bogus promo CD without the entire package, but believe me, the normal, commercial version of this product includes TWO CDs and liner notes for all the songs, and in our estimation (World Music Network & myself), it's well worth the money. There is a second CD that is an entire album by one of the artists on the first CD. The first CD has a wide range of Roma (gypsy) or Roma-inspired artists from all over the world, from traditional to more modern. I think it's a great collection and I worked on it for a good three months, making it a balanced and well thought out survey. all Rough Guides are quality merchandise, well researched and well respected by critics. Admittedly, most ""guide"" and ""best of"" compilations out there can never do the actual music justice - it's impossible to include everything, and the compiler's taste comes into play and there are of course many limitations to any given Rough Guide or the like due to licensing issues, budget, etc., but I feel I gave this comp my all, and so, The Rough Guide To Gypsy Music deserves a fair shake from you the buyer. I therefore feel I have the record set straight. I urge people interested in this kind of music to give it a try. Thanks, Pablo Yglesias (the compiler) the CD was not as I expected- it says various artists- turns out it is not a compilation at allall the songs are by the same group or organization -","Europe,Christian,Eastern Europe,Pop,Gypsy,World Music,Rock",contrary previous review compilation single artists cd dont know happened cd package maybe buyer received bonus cd mistake seller got bogus promo cd without entire package believe normal commercial version product includes two cds liner notes estimation world network well worth money second cd entire one artists first cd first cd wide range roma gypsy roma inspired artists world traditional modern think great collection worked good three months making balanced well thought survey rough guides quality merchandise well researched well respected critics admittedly guide best compilations never actual justice impossible include everything compiler contrary previous review compilation single artists cd dont know happened cd package maybe buyer received bonus cd mistake seller got bogus promo promo cd cd entire package believe normal commercial version product includes cds liner liner notes notes estimation world network worth money second cd entire artists cd cd wide range roma roma gypsy gypsy roma inspired artists world traditional modern think great collection worked good months balanced thought survey rough rough guides guides quality merchandise researched respected critics admittedly guide best compilations actual justice impossible include compiler
1,3,1929243766,"My family and I all first experienced John on Comedy Central. We taped him on our DVR. I bought everything John Pinette made for my husband last year for Christmas. We love to watch the DVD's and we love to listen to the CD's on road trips. My five year old belly laughs at John's jokes! His favorite is of course the Ewok impression. I don't mind any repeat of material since I can listen to him over and over. Aside from that not all of them have all the same stuff so you get a little different and alot the same, but it is all funny and we love it! Now our friends and family are ordering him. It is hard to find a funny comedian that the whole family can enjoy and John Pinette is that comedian. The funniest comedian I have ever seen.  Saw him in person and he is absolutely genuine.  He came out after the show to meet myself and 20 of my best friends.  He even stayed for pictures.  I couldn't wait for this DVD.  I even order the CD so that I can listen to it while I'm in the car.  He focuses on making fun of himself, not others. great cd! great comedian! all his fans will miss him a lot. he had a way of taking the simplest things in life and helping you find the humor in them. guys who can make fun of themselves and not take life so seriously are the best! he never turned to crude or crass humor. John Pinette: I'm Starvin'!John Pinette - I Say Nay NayMaking Lite of MyselfWhen you can't watch the DVD, pop in the CD to listen to the audio of his I Say Nay Nay track.. can't help laughin' out loud!! Needs to record more! John Pinnette is funny. I don't know why it took me so long to hear of him, but this man is talented. If you're having a rough patch in your week, listing to this man talk abt food, shopping trips, and especially his legendary hatred of waiting in lines, and he'll have you back to smiling in no time!!! Super funny guy, the cd has a lot of re-done material, but weaves in some new items....I just really like this guy.  He is very talented and I have seen him in person....if you get the chance, do that!Dean This contains many of the routines listeners of XM and Sirius radio have enjoyed on their comedy stations. When you are stuck in traffic it will give you great tension relief. The world lost a brilliant comedian in April,...with the sudden death of John Pinette.  His CD,..&#34;Making Lite of Myself&#34; is a must have for any of his fans.  It is classic John Pinette entertainment,......one laugh after another.  As many times as I have listened to his comedy,...it always makes me laugh.Miss you John,.....hope the buffet in heaven has no lines...... I am a big fan of John Pinette, but I am very disappointed in John for releasing this ""new album"", which is just the audio track from his ""I Say Nay Nay"" DVD.  This is not a new album.  There is no new material here.  Again, it's just the audio from his most recent DVD. I saw HOMETOWN John at the Malden Catholic Homecoming and he was awesome  Took me back quite a few years as we grew up in the same city of Malden Ma  I have all his videos and cd's and love each one of them  Thanks for the laughs John  We laugh  at ourselves and with each other every time you speak I took my wife to see John, he's the only comedian she likes. Not because of his fat jokes but because he's really funny. He rarely uses profanity and his joke construction is on par with the best in the business. If you are a true fan of comedy and comedians you'll be able to tell the difference between a fat comedian who tells jokes and John who works on his material and changes it up until the final construction is perfected then he records that typically. He does change up the jokes at times pulling unnecessary pieces out but the basic concept is still intact. He's no George Carlin when it comes to volume of work and overall joke construction but look at some of George's early work and it's not too different from John's. A lot of repetion but that is what people want to hear from him. When you go to see Carlin you expect a different show with the occassional old routine thrown in for good measure. When you go to see John you go for the same reason you go to a music concert to hear the things you like. I've bought this CD even though I already own DVD's which contain the same material because I love listening to John in the car on trips. It's relaxing and is a great way to start a vacation. John Pinette is one of my new favorite comedians.  His humor is very broad based (no pun intended), and can be enjoyed by a wide audience. John Pinette is a rare breed of comic. He uses REAL humor without using filthy language. He is a true comic, and you will want to purchase this cd. He is as funny as ever. We'll certainly miss him. John Pinnette is so funny.  It does not matter if I hear him on CD, see him on DVD or live - he is the best. John Pinette's ""Making Lite of Myself"" is almost as funny as his ""Show me the Buffet"". I listen to one or the other while I am driving and I can assure you that if more people would do the same we would have a lot less road rage. They are both hysterically funny. Love his style of humor. Good clean & very funny. I don't suggest listening the first time while driving, you'll be laughing so hard you may not be able too see where you are going.  After the first time you will have better control.  You will definitely enjoy this routine! John Pinette is one of the funniest and classiest comedians out there these days.  I love his old stuff for years....its time for some new routines.  I know you have them in you! Downloaded this for my iPod.  John is one of the funniest commedians, and this is one of his best CDs. This is one of the first comedy CD's that is funny all the way through the end. John Pinette had me laughing so much,I was crying. People were staring at me on the freeway wondering what was going on. John uses no profanity nor does he tear down anyone but of course himself. I've been passing this CD on to my family and friends and they love it too! Unfortunately,Making Lite of Myselfis just a repeat of the material on his other cd's. It is funny, but if you buy one, I do not recommend buying another of his cd's or dvd's. Makes fun of him self and is very funny. This is a great comedy album. The language is questionable but is a very funny album. A must for a comedy collection I'm a fan of John and only recently got around to purchasing this CD. I took it on a road trip with some friends and we almost had to turn it off, we were laughing so hard at some of the bits that I worried the driver might have an accident. This material is typical Pinette, well done, with relatively little salty language and honest, self-deprecating humor that appeals to everyone,old and young alike. Do yourself a favor, and buy this CD! Since ""discovering"" John Pinette a few years ago on an HBO special, I have loved his humor; which is at times self depracating, observant of the world and always a downright crackup! I take John's CD's with me on trips in my car and they make long drives a real pleasure because they keep me laughing so much!Steve MarquezAntioch, TN This is the latest John Pinette CD and it is quite funny indeed.  However, if you have his DVD, just know that about 85% of the material is the SAME as what you can see on the DVD.  I like Pinette and his material, but feel this CD recycles way too much previously-issued material.  Where's the new beef, John? Any time you see something with John Pinette, you cannot go wrong.  He is an incredibly gifted comedian.  I bought this the day it was released, and have listened to it many many times, it never gets dull. John Pinette will make you cry, and possible pee!  Be prepared to laugh your behind off!  Great CD, makes the morning commute worth the ride!","Comedy & Spoken Word,Pop",family first experienced john comedy central taped dvr bought everything john pinette made husband last year christmas love watch dvds love listen cds road trips five year old belly laughs johns jokes favorite course ewok impression dont mind repeat material since listen aside stuff get little different alot funny love friends family ordering hard find funny comedian whole family enjoy john pinette comedian funniest comedian ever seen saw person absolutely genuine came show meet best friends even stayed pictures couldnt wait dvd even order cd listen im car focuses making fun family experienced john comedy central taped bought john john pinette husband last year year christmas love watch dvds love listen cds road road trips trips year old belly belly laughs laughs johns jokes favorite course ewok impression mind repeat material listen aside stuff different funny love friends family ordering hard find funny comedian family enjoy john john pinette comedian comedian seen saw person absolutely genuine came show meet best best friends friends stayed pictures wait dvd order cd listen car focuses making fun fun
2,4,1930864159,"Awesome. This is so good when needing reminded to be quiet & hear God! You won't regret buying this music. My husband came across this CD while staying in a rented lake house for a job assignment and played it during the entire time he was there. It is musical, Christian medicine.","Pop & Contemporary,Christian,Gospel,Pop",awesome good needing reminded quiet hear god wont regret buying husband came across cd staying rented lake house job assignment played entire time musical christian medicine awesome good needing reminded quiet hear god wont regret buying husband came came across cd staying rented lake lake house house job assignment played entire time musical christian medicine
3,6,3937406328,"The purchase of this set was a bold step for me. I don't own any ""boxed"" sets. When I learned of this project on Chris's website I knew that this would be unique. I couldn't wait to explore such an immense piece of art. I'm still exploring. It's breadth is impressive. While I have my favorites there is not a song that is sloppy or rushed. Check back with me and my list of favorites will undoubtedly change. Currently it includes: Blind Willie (Texas Blues disc), My Blue World Says Hello (Electric Memphis Blues disc). As for the DVD... fascinating! I love the creative process that goes into any work of art. This is a little window into Chris's world and the musicians he worked with.The only downside to this project is that the book which houses the discs and the artwork is poorly designed to hold discs. They fall out very easily. All things considered, it's a minor inconvenience. All the music is now copied onto my computer/IPod.I Consider this purchase an investment in my education. Well worth the price. Chris Rea has been with us for a long time, and I am sure some of us out here still do not know his music.  If you like blues he is your man.  This set takes you on a journey from the grit heart of the blues, and shows a development and performance structure.  He is quite the music man. Wich popmusician would have the idiot idea to bring out 11 albums and a dvd, with brand new music on them? Why would anybody bother to listen to that much music of one artist? A lot of cd's are boring within 60 minutes, and there's so much more good music being made on this planet.Chris Rea obviously had that idiot idea, and he had some thoughts about the blues too. A fatal and selfoverating combination, I would expect. Chris Rea has made some albums in the past that were a bit boring. But the high level of his music on The Blue Jukebox, made me think that this man was doing something right. Could this album be any good?I knew Rea is a pretty good guitar player, who plays a mean slide. I already liked his voice. I liked the good popmusic on for instance Shamrock Diaries. But is anybody capable of filling that many cd's with blues, with his own personal style and voice without falling into an irritating form of narcism?I also had my doubts about the originality of an album with all these different styles of blues, done so many times before.For the reasons that no one in pophistory had pulled this off  before, my strong believe in the power of the blues and pure fascination for someone's intension to do such an outrageous project, I decided to buy the box.And, by the allmighty Thor, towering high above us, this music is allright. This band is tight. This man can play.Each album has a period or region in the blues as a starting point. What Rea does not do is take the blues in a riged way, but he does things with it. Sometimes he very much sticks to the original blues of that period, but you can also hear a popblues-variation very similar to older music of Chris Rea. Always played with the instruments of the period or region of the cd.The music sounds pretty relaxed, but is also very tight. Altough most of the work may have been done by Rea himself, the reason why the album sounds good has everything to do with the band. Essence of the blues naturally is the rhythm. A lot of blues done by popmusicians don't really sound like blues, tough the right chords etc. are used. But a real bluesband always has something more to offer. His band is a real bluesband and Chris Rea has become what every older musician should become: a bluesman. He proves it with 11 cd's full of blues! This kind of arrogance has to be rewarded.FJB/O!-music 2006 Why Chris Rea has never toured the States is a mystery. I can't find the words that could possibly pay justice to this man. He has an amazing voice, plays a mean guitar, composes great songs and yet is unknown in this country. I just don't get it. But for those who want to see what England has somehow managed to hide all this time (an undiscovered gem), check any one of his albums out. You'll soon be asking the same question. As a blues lover, I accidentally discovered Chris Rea on a compilation blues album that included '90's Blues' that gained my attention. Having listened to some of his other output, my feeling was that he was an artist who had some feeling for the blues. On an internet crawl last year I discovered the `Blue Guitars' album and after reading the reviews had to buy a copy. This is an incredible undertaking: 128 songs on 11 Cds based on the history of the blues. Each CD features one historical and geographical environment. The album comes in a hard cover book (unfortunately the CDs tend to fall out), that includes an interview with Chris Rea, paintings by Chris, a description of each album's basis, lyrics and includes a history of blues instruments used. Also included is a DVD detailing the production of an earlier CD, `Dancing down the road'.The first album, `Beginnings' blew me away. The album gives you a feel for the misery and despair suffered by people captured and transported. In addition it highlights the hope that the slaves envisioned via religion and the misunderstanding of their situation. The album is especially inspired as a result of the use of African instruments. This CD alone made the album worthwhile providing brilliant blues playing and incredible blues lyrics.The second album, `Country Blues' does not general reach quite the same heights. However, it is still superb, particularly `KK Blues'.Unfortunately the other 9 Cds do not reach the same level. Each CD has some high points and some sparkling moments, but never reach the same high point that the `Beginnings' album reaches. Many of the CDs provide a musical style, while probably accurate, does not appeal to my music tastes.In general, each subsequent album gets slowly poorer. The biggest disappointment is the last album `60s & 70s'. I grew up in this era and discovered the blues. Unfortunately, this CD offers blues that I do not identify with. It's too bad for all of us that it took a grave illness for Chris Rea to work on his most ambitious projects of his life.  This set alone would be a career for most artists.  Eleven differently themed music discs and a DVD documentary on the 12th disc!  Rea takes a genre such as Chicago Blues and imagines himself in that place and time and writes original material reminiscent of that genre.  And he pulls it off eleven times!  The set comes housed in a beutiful hard-bound book laced with reproductions of his own paintings.  You think the guy could spread some of his talent around!  It is one of the best bargains for the money to be found anywhere by anybody!  Buy it...it may not be around forever! I only own copies of this series of CDs, and am now going to buy the originals. One of my kids bought them, copied them and sent them to me and I have been hooked on them ever since. This is the most incredible feat anyone extant has achieved in music. I was absolutely floored when I received these CDs, a whole history of blues from that  execration known as slavery to modern times. Every single CD in this group is tremendous. If you love blues, look no further, it is all here. From Chicago to the Mississipi to Texas, from fifties break-out rock to blues ballads and even Celtic blues. What Chris Rea has done is in a word: amazing. Or in more words, it is gob-smacking and mind boggling. And, it's all good. The music is good, the lyrics are good, everything is impeccably done. And, of course, there is that smokey gritty voice which was made for this kind of music.  I've been a so-so fan of Chris Rea for many years. That is, I wasn't the kinda gung ho fan I am of Neil Young and Mark Knopfler, but this achievement of Chris Rea's really shows his immense talent and domination over his music and instruments. After having listened to this, one cannot help but think...what's he gonna do next? How is gonna top this? (And then some no-talent rapper gets the Grammy. Or the Oscar. And the real talent bites the dust. And so it goes. ) The music contained in this huge set of Cd's is truly amazing - in quality and breadth of styles included.I was already a Chris Rea fan but this work pushes into areas that commercial single CD's tend to avoid. He does this without the work being too heavy - it therefore would be appropriate as a first buy of Chris Rea and also for someone who was not that much into the blues.Truly enjoyable - and the book and paintings is an added huge bonus! This music is a delight to listen to.I know in time I will have my favourite tracks but in the meantime, just listening is pure pleasure. Some wonderful guitar music and plus the voice of Chris Rea makes this a must for any Collection. The presentation of the Collection is impresive, showing that Chris along with been a great Musician is a great artist.Chris Rea, thank you very much. I find this music to be very enjoyable.  This is the most I have paid for any group of music.  Chris Raye's music is blues but not is the strictest sense of the blues.  Another CD by Chris Rea is Highway to Hell.  This was my first experience listening to him. Also very enjoyable. I find that I listen to at least one of these CDs every day. Well worth the money. As a Chris Rea Fan I was excited when I ordered the 11 CD ""Blue Guitars"". When I listened to some of the earlier Blues era struff I couldn't believe they had gone and added fake record scratches and pops. Why oh Why ? For me, instead of lending some authenticity to the to these cuts, this engineering bit sort of cheapened them. Love every bit of this collection. Chris Rea has the perfect voice for the genre of slide guitar. I've split it into 'chill','easy listening' and 'upbeat' and just select the sub genre that suits my mood. Haven't stopped playing it most of the time and even my wife is right into it, after questioning why I wanted to spend the money! Chris Rea is a musician's musician - in other words, musicians recognize him for much more than a few hit songs and a tasty slide guitar. He has the heart of an artist and something even more important - INTEGRITY. I have just received ""Blue Guitars"" and have barely had time to listen to but a few tracks. I began by watching the DVD which only whetted my appetite to immerse myself, over time, in the whole project. What is immediately apparent is that Rea has not shirked his responsibility to be true to his own musical vision and also to the expectation of his fans who have come to expect exemplarary musicianship as well as audio excellence. A sample if somewhat cursory listening has confirmed my suspicions. ""Blue Guitars"" is a work of mammoth proportions and emotional depth. I fully intend to update this review over time as I am sure this is a journey that is going to take a while. I must admit I was a bit apprehensive when I heard that Chris Rea was to issue an 11 CD set.  I did not see how anyone could undertake such a huge project and hope that it would be up to his usual standard.  I really need not have feared.  Since receiving my copy of Blue Guitars at the beginning of the week I have listened to all 11 discs and have yet to find a bad one.  All the CD's are named for a particular type of blues and I have to say that they are all to a greater or lesser degree evocative of the genre they are named for.If this set had been issued by somebody new to the music scene, then all the usual pundits would be lauding him.  For Chris Rea, it is his farewell and a very poignant farewell it is.  If he had never issued anything else, then this would stand as a brilliant body of work.  Taken together with all the albums issued over the last 25 years, then it is outstanding.If you have never really listened to Chris Rea, then this is an opportunity to discern why he has had a faithful following over the years and why we have all looked forward eagerly to each new release.Thanks for the music Chris - we will not forget the pleasure you have given us and look forward to any releases with your new band Fireflies. This CD will test two things: Your love of the blues and your love of Chris Rea. If you're a lover of both, you'll recognize an artist who hit the height of his musical powers at the same time as he hit a near fatal low in his health.This CD is testimony to the power of being true to yourself and acknowledging your roots. Here is an artist who has refused to go on being ruled by the fickle criteria of commercial success and has had the courage to follow his heart. Chris Rea is willing to let his audience make up their own minds about this body of work. Anyone who loves the blues will love this CD. Anyone who acknowledges Chris Rea as one of the most important musical artists of his generation will be eternally grateful that he returned to the music that feeds his soul.Go beyond what's expected of you as a music consumer and confound the pundits - buy this brilliant collection of songs (they're not just blues numbers, they're beautifully written songs) and rejoice in an artist who found a way to be true to himself. I listen the entire new album of Chris Rea. I never hear a Chris Rea album before. This is an excepcional, complex & mesmerize album. This is the best album of this new century & one of the best blues album of all time. Eleven albums in one year !!! This is incredible. You must listen to it to believe it. The latin blues by English man sounds superior to the latin blues make for sud americans & spanish people. All the albums are great & sounds very very diferent. My favorites are: 60's & 70's, Chicago Blues,Electric Memphis Blues, Latin Blues & Ballads Blues. I recomend very much. Chris Rea is a favorite of mine and I have waited a long time to get this set and I love it.  It arrived promptly and in excellent condition, thank you... It is a fantastic collection of Chris Rea interpretation of the different Blues.I love Chris voice and his daring lyrics. With this collection Rea moved way up in the world of meaningful songs and music. BRAVO CHRIS Not a die hard Chris Rea fan (Sorry Mr Rea)Absolutely love this collection - I need a timber house beside a lake - Autumn perhaps, a little light rain and a warm Burbon or coffee. Conversation with a new love and a couple of close friends to make it complete. When I close my eyes listening to this collection that's what it evokes for me.Thank you Mr Rea for making us all feel like we've accomplished nothing with our lives : )If you love blues buy it. If you love Chris Rea buy it (you will any way)If you like Obnoxious Rap music buy it - You deserve what you get anyway. The idea is great - a journey through the history of blues and an attempt to recreate the feel of each style and time period. This is not an academic study, but it's Rea's interpretation. Fair enough, but the problem is that there are too many songs and Chris Rea doesn't have enough musical ideas to make each CD sound different enough from each other. Furhtermore, it sounds too Chris Rea. His signature slide playing and licks are featured throughout, his typical guitar sound too, so the experience ends up feeling like Road to Hell blues version 1, 2, 3, 4, etc. Furthermore, delta blues, for instance, just doesn't sound right with Rea's British accent. Some of the songs are also pure pop songs and do not fit at all on a blues record. He even uses cheesy electric drums on some tracks.To make it sound more genuine, he should have copied the playing style typical for each style to a greater extent. He should have done what Ry Cooder did on his latest album, ""Pull Up Some Dust And Sit Down"", where he on one song mimics John Lee Hooker in singing and playing style, which works superbly well.Granted, each CD has its great points, and I think this release could have been much better if the project had been reduced to 2 or 3 CDs with only the best songs. howdy y'all,a really good - REALLY, REALLY good - overview and set of songs. my only complaint here is with amazon, not the boxed set. where is the list of disks & the tracks on them? here's one listing ...[...]take care,lee I didn't actually realise that this set came as a fairly sizeable book (duh!). Blue Guitars is a labour of love, and it shows. Rarely, if at all, have I known an artist to produce 11cd's of great songs. It's an interesting journey. The book, with it's paintings and an in -depth interview with Chris Rea, are almost a throwback to the old vinyl days of studying the album sleeve as you listen to the music. Rea's slide playing has never sounded better and his dark brown 'trombone ' of a voice carries you through the journey from the source of the blues through slavery, into the various manifestations of it up to the '60-70s. Great stuff.A minor point - The CD sleeves in the book are VERY FRAGILE so will not stand up to too much use. What a fine piece of music work done by Chris Rea! I was lucky enough to find this great collection of blues in Amazon.com, and for a marvelous price. I love all of the new songs Chris Rea introduces in this magnificent collection. Great music, every CD was worth it. It is amazing that someone could make an album comprising 11 CDs, truly creative. Must add the packing was very good and seller had taken absolute care and the album reached me in good time. Seller recommended. After my review of ""The Very Best of Chris Rea"", I received this 11-cd set. The reviews gave me confidence in my purchase. I have to say that not only does Chris Rea successfully separate the Blues of various areas, he continues to surprise me. I keep asking myself if he has ever made any musical duds. My favorite discs would be the 60's & 70's; Chicago Blues; Memphis Blues; but, and this may seem strange to the rest of you, but the absolute highlight for me is the DVD documentary that runs 70 mins. It is well made and entertaining while providing a rare insight into what an artist goes through to have his music heard. This in and of itself made the entire purchase worthwhile. The music is excellent and there are real gems throughout the collection. I just ordered 3 more Chris Rea cds; Thanks, Chris for all you do!","Europe,World Music,Blues Rock,Rock,Pop,Dance & Electronic,Britain,Singer-Songwriters,Rock Guitarists,Album-Oriented Rock (AOR),Dance Pop,Blues,British Isles,Folk,Classic Rock",purchase set bold step dont boxed sets learned project chriss website knew would unique couldnt wait explore immense piece art im still exploring breadth impressive favorites sloppy rushed check back list favorites undoubtedly change currently includes blind willie texas blues disc blue world says hello electric memphis blues disc dvd fascinating love creative process goes work art little window chriss world musicians worked downside project book houses discs artwork poorly designed hold discs fall easily things considered minor inconvenience copied onto computer ipod consider purchase investment education well worth price chris rea purchase set bold step boxed boxed sets sets learned project website knew unique wait explore immense piece art exploring breadth impressive favorites sloppy rushed check list favorites undoubtedly change currently includes blind willie texas texas blues blues disc blue blue world world says electric memphis blues blues disc dvd fascinating love creative creative process process work art little window window world world musicians musicians worked downside project book houses discs artwork poorly designed hold discs fall easily things considered minor inconvenience copied computer ipod consider purchase investment education worth price chris chris rea rea
4,7,4266950926,"I stumbled onto this CD one day at a listening post and was at first drawn to it because of the cover. The album is a wonderful blend of East Indian, Arabic, African and Western music. The instruments and rhythms weave back and forth between the various influences in a spirited and lively manner. One track may have a hint of New Orleans Jazz balanced against the romantic and haunting sounds of the desert. Another track features East Indian vocals and tabla in a spirited dance with saxophone and flute. Overall easy to listen to ranging from sprightly to ambient in texture during the course of the album.","New Age,Meditation,World Music,Pop",stumbled onto cd one day listening post first drawn cover wonderful blend east indian arabic african western instruments rhythms weave back forth various influences spirited lively manner one may hint new orleans jazz balanced romantic haunting sounds desert another features east indian vocals tabla spirited dance saxophone flute overall easy listen ranging sprightly ambient texture course stumbled cd day listening listening post post drawn cover wonderful blend east east indian indian arabic african western instruments rhythms weave forth influences spirited lively manner hint new new orleans jazz orleans jazz balanced romantic haunting sounds desert features east east indian indian vocals tabla spirited dance saxophone flute overall easy listen ranging sprightly ambient texture course
5,9,5553552451,this is one of them songs that everyone heard of at least once in there life.  a great song.  sounds great no static in the sound. I did not like the tinny sound. I ended up deleting all of the tracks from my system.,Pop,one everyone heard least life great sounds great static sound like tinny sound ended deleting system one heard life great great sounds sounds great static sound tinny sound ended deleting system
6,10,5554329039,If you are zydeco music fan then this is a must have for your collection. The music is great!!!! Album Tracks1. Big Mamou2. I'm Coming Hime3. Tante Na Na4. Life Must Go On5. The Night Time Is The Right Time6. Hot Tamale Baby7. Tonight's The Night8. Hurricane Shuffle9. No Good Woman10. Do Right Sometime11. I Woke Up This Morning12. Do You Love Me?13. Midnight Mood,"World Music,Pop,Rock",zydeco fan must collection great big mamou im coming hime tante na na life must go night time right time hot tamale baby tonights night hurricane shuffle good woman right sometime woke morning love midnight mood zydeco fan collection great great big big mamou mamou coming life night night time time right time hot hot tamale baby baby tonights night hurricane shuffle good woman right woke love midnight mood
7,17,5557894675,"Before there were British record charts, and before I was even born, Perry Como already had plenty of American charts. The most recent of the 23 featured here (If, not to be confused with the identically titled song by Bread) started and ended its chart run while I was in my mother's womb. Some of these songs may have made the British sheet music charts, but even if they did, it might not be because of Perry's recording. For example, Perry had a huge hit with Far away places (featured here), but he faced stiff competition. Three other versions charted, with Bing Crosby's version spending three weeks at #2 during its chart run, while Margaret Whiting's version also peaked at #2, but spent six weeks there, while Perry's version peaked at #4. I like all three, but I like Margaret's version best.Despite being released on a budget label, this compilation not only includes liner notes but also peak chart positions. More importantly, it contains a fine selection of Perry's early hits. During the period covered, Perry has eight #1 hits in America, and six of them are included here, occupying the first six places on the CD. The omissions are Surrender (which Woody Herman also took into the top ten) and Chi-baba Chi-baba (which Peggy Lee also took into the top ten), but they are not difficult to find elsewhere. The remaining tracks are not in any obvious order, and are certainly not based on chart dates or peak positions.While by no means comprehensive, this compilation offers an excellent selection of hits from the early part of Perry Como's career.Tracks1. If2. Till the end of time3. Prisoner of love4. Hoop-dee-doo5. `A' You're adorable6. Some enchanted evening7. You won't be satisfied until you break my heart8. Far away places9. I'm always chasing rainbows10. I wanna go home with you11. Here comes heaven again12. All through the day13. Temptation14. A dreamer's holiday15. Because16. Bali Ha'i17. Bibbidi-bobbidi-boo18. Blue room19. Forever and ever20. So far21. Long ago and far away22. Just one way to say I love you23. Let's take an old fashioned walk","Rock,Pop,Easy Listening",british record charts even born perry como already plenty american charts recent featured confused identically titled bread started ended chart run mothers womb may made british sheet charts even might perrys recording example perry huge hit far away places featured faced stiff competition three versions charted bing crosbys version spending three weeks chart run margaret whitings version also peaked spent six weeks perrys version peaked like three like margarets version best despite released budget label compilation includes liner notes also peak chart positions importantly contains fine selection perrys early hits period covered perry eight hits british record record charts charts born perry como plenty american american charts charts recent featured confused identically titled bread started ended chart run mothers womb british sheet charts recording example huge hit far away places featured faced stiff stiff competition competition versions charted bing crosbys crosbys version spending weeks chart run margaret whitings whitings version peaked spent weeks version peaked version best released budget label compilation includes liner liner notes notes peak chart chart positions positions importantly contains fine selection early hits period covered hits
8,20,5558479558,"Fight like this, Walking Dead. Both songs are amazing and this is Decyfer Down at their best, in my opinion at least.","Hard Rock,Christian,Rock",fight like walking dead amazing decyfer best opinion least fight walking dead amazing best opinion
9,21,5558682434,"There are already some two  dozen reviews not yet ""linked"" to this version that already do this awesome album full justice ,plus say how SOP came to beFor a few $ more ,the main extra you get is a full set of -acoustic early demo versions of the whole  final album,in sequence . Some tracks Marcella hasnt worked out the final lyrics  yet and fills without words,  and some are  shorter than the final (4 are less than 2 minutes each),so that the demo as whole runs to around 35 minutes. The visuals are simply a speeded up cloud-scape with band members appearing superimposed  in turn...and yet ,oddly, the overall effect is somehow very deeply and gently moving.  Other Extras include making of Embrace the Storm and Passion.(And if its SOP in a live concert DVD you're after, look up the unmissable  ""Out in the Real World""!)","Pop,Rock",already two dozen reviews yet linked version already awesome full justice plus say sop came befor main extra get full set acoustic early demo versions whole final sequence marcella hasnt worked final lyrics yet fills without words shorter final less minutes demo whole runs around minutes visuals simply speeded cloud scape band members appearing superimposed turn yet oddly overall effect somehow deeply gently moving extras include making embrace storm passion sop live concert dvd youre look unmissable real world dozen reviews linked version awesome full justice say sop came main extra full set acoustic early demo versions final final sequence sequence marcella worked final lyrics fills words final minutes demo runs minutes visuals simply speeded cloud scape band members appearing superimposed turn oddly overall effect deeply gently extras include embrace storm passion sop live live concert concert dvd youre look unmissable real real world world
